words,idf
000,6.8126368795682835
14,6.407171771460119
20,6.8126368795682835
200,6.8126368795682835
25,6.8126368795682835
70,6.8126368795682835
aan,6.8126368795682835
aane,6.407171771460119
aaner,6.119489699008338
aanoch,6.8126368795682835
aans,6.8126368795682835
ab,4.370289844199078
abah,6.407171771460119
abba,6.8126368795682835
abdampfe,6.8126368795682835
abdanze,6.8126368795682835
abend,6.407171771460119
aber,5.7140245909001735
abg,6.8126368795682835
abgeben,6.8126368795682835
abgehen,6.407171771460119
abgehend,6.8126368795682835
abgelehnt,6.8126368795682835
abgemacht,6.8126368795682835
abseits,6.8126368795682835
absicht,6.8126368795682835
absits,6.8126368795682835
abzapfe,6.8126368795682835
accident,6.8126368795682835
ach,5.426342518448393
acht,6.119489699008338
achte,6.407171771460119
adam,6.8126368795682835
adie,6.8126368795682835
adieu,5.896346147694128
adje,6.407171771460119
adjes,6.8126368795682835
adoriert,6.8126368795682835
aelterer,5.426342518448393
affair,6.407171771460119
affaire,6.8126368795682835
ah,3.65563645841817
ahnung,6.407171771460119
aijene,6.8126368795682835
aise,6.8126368795682835
aj,6.8126368795682835
akklimatisieren,6.8126368795682835
alfred,3.9222651216721185
alle,4.940834702666692
allehopp,6.8126368795682835
allei,5.559873911072915
allem,5.896346147694128
allen,6.407171771460119
allens,6.8126368795682835
aller,6.407171771460119
allerliebschte,6.8126368795682835
allerwenigschte,6.8126368795682835
alles,3.7215944262099674
allewil,5.896346147694128
allewäj,5.426342518448393
allez,6.8126368795682835
allgemeine,6.407171771460119
allgemeines,6.119489699008338
alli,5.426342518448393
allignez,6.8126368795682835
allmagne,6.8126368795682835
allons,6.8126368795682835
als,4.286908235260028
also,4.940834702666692
alt,6.407171771460119
alter,6.119489699008338
alti,5.426342518448393
am,3.894866147484004
ambettirt,6.8126368795682835
ambitione,6.8126368795682835
amend,6.407171771460119
amer,6.119489699008338
amitié,6.8126368795682835
amorse,6.8126368795682835
amorsen,6.8126368795682835
amours,6.8126368795682835
amusez,6.8126368795682835
amüsiert,6.8126368795682835
an,3.316129318101803
anbelangt,6.8126368795682835
ancien,6.407171771460119
andacht,6.407171771460119
andeil,6.8126368795682835
andere,5.896346147694128
anderen,6.8126368795682835
anderer,6.8126368795682835
anderi,6.119489699008338
andernooch,6.8126368795682835
andersch,5.896346147694128
andersmol,6.8126368795682835
anderthalwe,6.8126368795682835
anduen,6.407171771460119
andüeht,6.8126368795682835
anere,6.8126368795682835
anfall,6.407171771460119
anfang,6.407171771460119
anfenthalts,6.8126368795682835
ang,6.407171771460119
angedon,6.8126368795682835
angehn,6.8126368795682835
angelegenheit,6.407171771460119
angenehme,6.407171771460119
angezogen,6.8126368795682835
anghett,6.8126368795682835
angschmiert,6.8126368795682835
angst,5.559873911072915
anhänke,6.8126368795682835
anlassung,6.8126368795682835
annahme,6.8126368795682835
anne,5.7140245909001735
annen,6.8126368795682835
annoch,6.8126368795682835
anoch,6.8126368795682835
anpfiffe,6.8126368795682835
ans,5.7140245909001735
anschtehn,6.8126368795682835
anständig,6.8126368795682835
antwort,6.8126368795682835
anvertröuje,6.8126368795682835
anzahl,6.8126368795682835
anzeije,6.8126368795682835
anzezeije,6.8126368795682835
anzezeje,6.8126368795682835
anzigs,6.8126368795682835
apart,6.8126368795682835
apothek,6.8126368795682835
appareil,6.8126368795682835
appellier,6.8126368795682835
après,6.8126368795682835
arich,5.896346147694128
arigs,6.8126368795682835
arm,6.119489699008338
armeekorps,6.8126368795682835
arms,6.407171771460119
armée,6.8126368795682835
arnscht,6.119489699008338
arrivons,6.8126368795682835
art,6.8126368795682835
artlich,6.8126368795682835
artlicher,6.407171771460119
artlichkeit,6.8126368795682835
artlichkeite,6.8126368795682835
as,5.308559482792009
asphaeltereriert,6.8126368795682835
aspirant,6.8126368795682835
attachiere,6.8126368795682835
attendant,6.407171771460119
au,3.76811444184486
auch,6.119489699008338
auesblick,6.407171771460119
auf,4.104586678466073
aufenthaltserlaubnis,6.8126368795682835
aufgeregter,6.8126368795682835
aufgesprungen,6.8126368795682835
aufhält,6.8126368795682835
aufs,6.8126368795682835
aufspringend,6.407171771460119
auftrages,6.8126368795682835
auftritt,6.8126368795682835
augen,5.7140245909001735
augenblick,6.407171771460119
augenblicklich,6.8126368795682835
aus,4.797733859026018
ausbrechend,6.8126368795682835
auseinander,6.8126368795682835
ausrufezeichen,6.407171771460119
aussi,6.8126368795682835
automobil,6.8126368795682835
autre,6.407171771460119
avant,5.426342518448393
avec,6.407171771460119
avricourt,5.308559482792009
awer,3.428246616222509
awwer,6.8126368795682835
aß,4.672570716072013
aße,6.8126368795682835
aüf,6.8126368795682835
baan,6.8126368795682835
babbel,6.8126368795682835
babbeljude,6.8126368795682835
babble,6.8126368795682835
babett,4.940834702666692
babette,6.407171771460119
bagage,6.407171771460119
bahnhofsrestauration,6.8126368795682835
bahnsteigsperre,6.8126368795682835
baldigst,6.8126368795682835
ball,5.896346147694128
bande,6.8126368795682835
bappe,6.8126368795682835
bar,6.8126368795682835
bariser,6.8126368795682835
bassiert,6.8126368795682835
bataille,6.8126368795682835
bauch,6.8126368795682835
baßt,6.407171771460119
bedenke,6.8126368795682835
bedidde,6.8126368795682835
bedingung,6.8126368795682835
bedittung,6.8126368795682835
bedrachte,6.8126368795682835
beenden,6.8126368795682835
befehl,6.119489699008338
beffze,6.8126368795682835
befinden,6.8126368795682835
befummelt,6.8126368795682835
begahra,6.8126368795682835
begehres,6.8126368795682835
begehrt,6.8126368795682835
beginnt,6.8126368795682835
begleitend,6.8126368795682835
begleitet,6.8126368795682835
behandeln,6.8126368795682835
beherrsch,6.8126368795682835
beherrsche,6.119489699008338
bei,5.896346147694128
beide,5.426342518448393
beim,6.8126368795682835
bein,6.8126368795682835
bekannte,6.8126368795682835
bekomm,5.308559482792009
bekumms,6.8126368795682835
bekummsch,6.8126368795682835
bekummt,6.119489699008338
bekämt,6.407171771460119
beleebt,6.407171771460119
beleidigt,6.407171771460119
belle,6.8126368795682835
bello,6.407171771460119
