words,idf
1000,5.709530201312334
1279,5.709530201312334
14,5.709530201312334
25,5.709530201312334
273,5.709530201312334
31,5.709530201312334
35,5.709530201312334
36,5.709530201312334
40,5.709530201312334
450,5.30406509320417
715,5.709530201312334
75,5.709530201312334
80,5.709530201312334
88,5.709530201312334
900,5.709530201312334
ab,3.144580843850797
aber,5.0163830207523885
abg,5.709530201312334
abgehen,5.30406509320417
abrachnung,5.709530201312334
absatz,5.30406509320417
absetzt,5.709530201312334
abwehrender,5.709530201312334
abz,5.709530201312334
accord,5.709530201312334
ach,5.709530201312334
achdung,5.709530201312334
acht,5.709530201312334
achte,5.709530201312334
achter,5.709530201312334
ad,5.709530201312334
adjoint,5.709530201312334
administration,5.709530201312334
adresse,5.709530201312334
aelterer,5.0163830207523885
aermel,5.709530201312334
affaire,5.709530201312334
aggressiv,5.709530201312334
agschafft,5.709530201312334
ahanglig,5.709530201312334
ainsi,5.709530201312334
akte,5.0163830207523885
akten,5.709530201312334
aktenschrank,5.709530201312334
akteseele,5.709530201312334
akummt,5.709530201312334
alarmiere,5.709530201312334
alinéa,5.709530201312334
alle,3.630088659632498
allei,5.30406509320417
alles,4.456767232816967
allewil,5.0163830207523885
allez,5.709530201312334
allons,5.0163830207523885
als,4.456767232816967
also,5.709530201312334
alt,4.793239469438179
alter,5.0163830207523885
alterle,5.709530201312334
am,3.917770732084279
amerika,5.709530201312334
amerikanischer,5.709530201312334
ami,5.709530201312334
amtsschimmel,5.709530201312334
amtsvorstand,5.709530201312334
an,3.6946271807700692
and,5.709530201312334
ander,5.709530201312334
andere,5.709530201312334
andern,4.793239469438179
anderst,5.709530201312334
andert,5.709530201312334
anderung,5.709530201312334
andre,5.709530201312334
anefiehrt,5.709530201312334
anegesetzt,5.709530201312334
angswoll,5.709530201312334
anlass,5.709530201312334
antwort,4.793239469438179
antworten,5.709530201312334
anzeige,5.709530201312334
apartich,5.709530201312334
après,5.709530201312334
ar,4.610917912644224
arbeite,5.0163830207523885
arg,5.709530201312334
arm,5.709530201312334
arme,5.0163830207523885
art,5.709530201312334
aruckt,5.709530201312334
arunpieren,5.709530201312334
as,4.793239469438179
asah,5.709530201312334
ass,5.709530201312334
ateil,5.709530201312334
au,4.610917912644224
auf,3.917770732084279
aufgebracht,5.30406509320417
aufgestossen,5.709530201312334
aufsatz,5.30406509320417
aufwirbelnd,5.709530201312334
augenblicke,5.709530201312334
augmentation,5.30406509320417
aus,4.0047821090739095
auszudrücken,5.709530201312334
avez,5.709530201312334
awer,3.0353815518858056
az,5.709530201312334
babberlababb,5.709530201312334
bachle,5.709530201312334
bahn,5.709530201312334
bankrott,5.709530201312334
base,5.30406509320417
bazilleheim,5.709530201312334
beamte,5.30406509320417
beamtebeleidigung,5.709530201312334
beamter,5.709530201312334
beantrage,5.30406509320417
bedachtsam,5.709530201312334
befinde,5.709530201312334
begryffe,5.709530201312334
begütigend,5.709530201312334
behandlung,5.709530201312334
bei,5.709530201312334
beide,5.30406509320417
bekimmere,5.709530201312334
bekomm,5.30406509320417
belehrung,5.709530201312334
beläidig,5.709530201312334
benimmt,5.709530201312334
bes,5.709530201312334
beschte,5.0163830207523885
besen,5.30406509320417
besondern,5.709530201312334
besorgt,5.709530201312334
besser,5.0163830207523885
bessre,5.709530201312334
betrachtet,5.709530201312334
betrifft,5.709530201312334
beugt,5.709530201312334
bewaffnete,5.709530201312334
bewiesa,5.709530201312334
bewillige,5.30406509320417
bewilligt,5.709530201312334
bezüre,5.709530201312334
bi,4.456767232816967
bien,5.0163830207523885
bier,5.709530201312334
bim,5.30406509320417
bin,3.3116349285139637
bindele,5.709530201312334
bindig,5.30406509320417
bis,5.30406509320417
bisch,5.30406509320417
bisher,5.709530201312334
bittend,5.709530201312334
bizzi,5.709530201312334
blatt,5.709530201312334
bleibt,5.0163830207523885
bliwe,5.709530201312334
blumenund,5.709530201312334
blättelich,5.709530201312334
blättle,5.709530201312334
blüte,5.30406509320417
bode,5.0163830207523885
boden,5.709530201312334
boll,5.30406509320417
bon,4.793239469438179
bonjour,4.323235840192444
bonne,5.709530201312334
box,4.793239469438179
boxhandschuhe,5.709530201312334
boxprofesser,5.709530201312334
breit,5.30406509320417
breitspurig,5.709530201312334
bringe,5.30406509320417
brocht,5.709530201312334
brucke,5.709530201312334
brummelt,5.709530201312334
brüch,5.709530201312334
brüchbarer,5.709530201312334
brüche,5.709530201312334
bscheid,5.709530201312334
bschlosse,5.709530201312334
bsinn,5.709530201312334
bsorge,5.709530201312334
bstelle,5.709530201312334
buchstaben,5.709530201312334
buetze,5.709530201312334
bureau,4.456767232816967
bureaukrate,5.709530201312334
bâtiment,5.709530201312334
bäbbe,5.0163830207523885
bächle,5.709530201312334
bühne,5.709530201312334
bürokrat,5.709530201312334
bürokratefisik,5.709530201312334
bürokratius,5.709530201312334
cas,5.30406509320417
ce,5.709530201312334
cela,5.709530201312334
chair,5.709530201312334
changiert,5.709530201312334
chef,3.2671831659431296
ci,5.0163830207523885
communique,5.0163830207523885
cousin,4.610917912644224
crédit,5.709530201312334
da,4.456767232816967
dachs,5.709530201312334
dam,5.0163830207523885
dane,5.30406509320417
danke,5.0163830207523885
dankend,5.709530201312334
dankwohl,5.709530201312334
dann,5.0163830207523885
dans,5.709530201312334
dare,5.30406509320417
darüber,5.709530201312334
das,2.8763168572561177
dass,3.630088659632498
dauert,5.709530201312334
de,3.8377280244107426
dei,5.709530201312334
dem,4.323235840192444
demande,5.709530201312334
den,3.512305623976115
denn,3.763620052257021
der,3.6946271807700692
derart,5.709530201312334
derbem,5.709530201312334
derfe,5.709530201312334
dert,5.709530201312334
derwilsch,5.709530201312334
des,4.610917912644224
deutend,5.30406509320417
di,5.709530201312334
die,3.0014800002101243
dienscht,5.0163830207523885
dienschtvorschrift,5.709530201312334
dienschtvorschrifte,5.0163830207523885
dienstwohnung,5.709530201312334
diesem,5.30406509320417
dindeschlecker,2.9061698204057995
dindeschleckers,5.0163830207523885
ding,5.709530201312334
dings,5.30406509320417
dire,5.709530201312334
direkt,5.709530201312334
ditlich,5.709530201312334
divisionnaire,5.0163830207523885
do,2.9061698204057995
doch,3.458238402705839
dod,3.569464037816063
dode,5.30406509320417
dodehand,5.709530201312334
doder,5.709530201312334
doppelt,5.709530201312334
dort,5.709530201312334
dr,2.413693335308005
dra,5.709530201312334
dran,5.709530201312334
drbi,5.0163830207523885
dreht,5.709530201312334
drgege,5.30406509320417
dri,5.709530201312334
drin,5.30406509320417
dringende,5.709530201312334
drinn,5.0163830207523885
drinne,5.30406509320417
drinnen,5.709530201312334
driwe,5.709530201312334
driwer,5.709530201312334
drmit,5.709530201312334
drno,3.8377280244107426
drohend,5.709530201312334
drohungen,5.30406509320417
druff,5.30406509320417
drum,5.709530201312334
drvu,5.30406509320417
drwage,5.709530201312334
drzüe,5.30406509320417
drüf,5.709530201312334
dumma,5.709530201312334
dummaa,5.709530201312334
dummheiten,5.30406509320417
dur,5.30406509320417
durch,5.709530201312334
durcheinander,5.30406509320417
dureh,5.709530201312334
dà,5.709530201312334
därf,5.30406509320417
décorations,4.793239469438179
déjà,5.709530201312334
dü,5.0163830207523885
ebbis,5.709530201312334
ebbs,5.30406509320417
ebenfalls,5.709530201312334
edle,5.709530201312334
eenfach,5.0163830207523885
egal,5.30406509320417
eh,5.709530201312334
ehen,5.709530201312334
ei,5.709530201312334
eifrig,5.0163830207523885
eifriges,5.709530201312334
eige,5.709530201312334
eiges,5.709530201312334
eigetlig,4.793239469438179
eigne,5.30406509320417
eila,5.709530201312334
eiligst,5.30406509320417
eilt,5.0163830207523885
eim,5.30406509320417
eimer,5.709530201312334
ein,3.8377280244107426
eine,4.456767232816967
einem,5.0163830207523885
einen,5.0163830207523885
einer,4.793239469438179
einige,5.0163830207523885
einlen,5.709530201312334
einlenkend,5.709530201312334
einmal,5.709530201312334
eins,5.0163830207523885
einschtwile,5.709530201312334
eint,5.709530201312334
eintretend,5.30406509320417
einzige,5.709530201312334
emol,3.763620052257021
empfange,5.709530201312334
en,5.30406509320417
encore,5.709530201312334
energischi,5.709530201312334
enorm,5.709530201312334
entfaltet,5.709530201312334
entnimmt,5.709530201312334
entrez,5.709530201312334
entriss,5.709530201312334
entsprachend,5.709530201312334
enttäuscht,5.709530201312334
enttäuschung,5.709530201312334
envoie,4.793239469438179
er,3.8377280244107426
erbarme,5.709530201312334
erblassend,5.709530201312334
erbleicht,5.709530201312334
erbschaft,5.709530201312334
erfahreni,5.709530201312334
erfolgt,5.709530201312334
erhöhung,5.709530201312334
erklärt,5.30406509320417
erklärte,5.30406509320417
erlitte,5.709530201312334
erscheint,5.709530201312334
erscht,4.20545280453606
erschte,5.709530201312334
ersparte,5.709530201312334
ersten,5.709530201312334
erwecke,5.709530201312334
erweckt,5.709530201312334
es,5.0163830207523885
eso,4.610917912644224
est,4.610917912644224
et,5.30406509320417
etabliert,5.709530201312334
etc,5.709530201312334
etwa,5.709530201312334
euich,4.610917912644224
euier,5.709530201312334
euire,5.709530201312334
ewe,5.709530201312334
ewefalls,5.30406509320417
exact,5.709530201312334
faire,5.709530201312334
fal,4.793239469438179
fall,5.709530201312334
falla,5.30406509320417
fallt,5.709530201312334
famili,5.709530201312334
fangt,5.709530201312334
fattig,5.709530201312334
feder,5.709530201312334
fegende,5.709530201312334
fens,5.709530201312334
fermé,5.709530201312334
fertig,5.30406509320417
ff,5.709530201312334
fidel,5.709530201312334
fiehre,5.709530201312334
findet,5.709530201312334
finger,5.30406509320417
fir,3.2671831659431296
fisch,5.709530201312334
fisik,5.0163830207523885
fleischsupp,5.709530201312334
folgende,5.30406509320417
forme,5.709530201312334
francs,5.709530201312334
franes,5.709530201312334
franke,5.30406509320417
franzeesch,5.709530201312334
frapper,5.709530201312334
fraui,5.709530201312334
fred,2.968690177387133
freddy,5.709530201312334
frei,3.8377280244107426
freit,5.709530201312334
fridda,5.30406509320417
friedegstellt,5.709530201312334
friehjer,5.709530201312334
frindli,5.709530201312334
frisch,3.0353815518858056
fräch,5.709530201312334
frägt,5.709530201312334
fräide,5.30406509320417
fröhlichen,2.9061698204057995
furt,5.709530201312334
fählerlos,5.709530201312334
fährt,5.709530201312334
fällt,5.30406509320417
février,5.709530201312334
für,5.0163830207523885
fürchterli,5.709530201312334
gald,5.30406509320417
galoppiert,5.709530201312334
gange,5.709530201312334
ganz,4.456767232816967
ganze,5.30406509320417
ganzi,5.709530201312334
gar,4.323235840192444
garn,5.709530201312334
ge,5.30406509320417
geachteter,5.709530201312334
geb,5.709530201312334
gebiffelt,5.709530201312334
gebärde,5.709530201312334
gebärdenspiel,5.709530201312334
gedanken,5.709530201312334
gegange,5.30406509320417
gegeniwer,5.709530201312334
geglauibt,5.709530201312334
gegriesst,5.709530201312334
geheimnißvoll,5.709530201312334
gehen,5.709530201312334
gehl,5.709530201312334
gehn,4.610917912644224
geht,4.100092288878233
gehört,5.709530201312334
geje,5.0163830207523885
gejeteil,5.709530201312334
gekrizels,5.709530201312334
gekumme,5.709530201312334
gelenk,5.709530201312334
gelosse,5.709530201312334
gemachti,4.456767232816967
gemüedli,4.793239469438179
gemüedlier,5.709530201312334
gen,5.30406509320417
gerechte,5.709530201312334
geseniwer,5.709530201312334
gestikulierend,5.709530201312334
gewahrt,5.30406509320417
gewissermassen,5.709530201312334
geöffneten,5.709530201312334
gfajt,5.709530201312334
gfängnis,5.709530201312334
ghaltsüfbesserung,5.709530201312334
git,5.0163830207523885
gits,5.30406509320417
gleichkommt,5.709530201312334
glich,4.20545280453606
gliche,5.0163830207523885
glöüwe,5.30406509320417
glückliche,5.709530201312334
gmerkt,5.709530201312334
gmietliger,5.30406509320417
gnumme,5.709530201312334
gnüe,5.709530201312334
gott,5.709530201312334
grad,4.793239469438179
gradi,4.610917912644224
gradii,5.709530201312334
graui,5.709530201312334
grausser,5.709530201312334
grinne,5.709530201312334
groschewirschtle,5.709530201312334
grossen,5.709530201312334
grosser,5.709530201312334
grund,5.709530201312334
gsah,5.0163830207523885
gsait,4.793239469438179
gschadigt,5.709530201312334
gschrei,5.30406509320417
gschrie,5.30406509320417
gschriewe,5.30406509320417
gschriwwe,5.709530201312334
gschtorwa,5.709530201312334
gschäftelich,5.30406509320417
gschäftlich,5.30406509320417
gselle,5.709530201312334
