words,idf
abfassen,3.970414465569701
acht,3.5649493574615367
aelterer,3.970414465569701
aff,3.970414465569701
ag,3.970414465569701
ah,3.970414465569701
aha,3.970414465569701
allei,3.5649493574615367
alleinig,3.970414465569701
am,3.5649493574615367
amüsiere,3.970414465569701
an,3.5649493574615367
antwort,3.970414465569701
arm,3.970414465569701
as,3.970414465569701
ass,3.970414465569701
auf,3.970414465569701
ba,3.970414465569701
babegei,3.5649493574615367
backebei,3.970414465569701
bedü,3.970414465569701
bei,3.970414465569701
beide,3.970414465569701
benewelt,3.970414465569701
bisch,3.5649493574615367
bliwe,3.970414465569701
bode,3.970414465569701
boge,3.5649493574615367
brüche,3.970414465569701
burscht,3.970414465569701
bär,3.970414465569701
das,3.970414465569701
daüdle,3.970414465569701
de,3.277267285009756
denn,3.277267285009756
derf,3.970414465569701
di,3.5649493574615367
dich,3.970414465569701
die,3.0541237336955462
do,3.0541237336955462
doch,3.5649493574615367
dr,2.8718021769015913
dra,3.970414465569701
drum,3.970414465569701
du,3.970414465569701
dumma,3.970414465569701
durch,3.5649493574615367
dure,3.970414465569701
durst,3.970414465569701
dà,3.5649493574615367
dü,3.0541237336955462
eb,3.970414465569701
ebber,3.970414465569701
ebbes,3.970414465569701
eigentlig,3.970414465569701
ein,3.5649493574615367
em,3.970414465569701
emol,3.5649493574615367
entzwei,3.970414465569701
er,3.5649493574615367
eso,3.970414465569701
ewe,3.970414465569701
fahrt,3.970414465569701
fallt,3.970414465569701
fedre,3.970414465569701
finster,3.970414465569701
fir,3.970414465569701
franz,1.719122666963206
froge,3.970414465569701
frogt,3.970414465569701
furt,3.970414465569701
gassen,3.970414465569701
ge,3.970414465569701
geh,3.277267285009756
geht,3.970414465569701
gen,3.970414465569701
geniere,3.970414465569701
gib,3.5649493574615367
git,3.970414465569701
gli,3.970414465569701
glöüwe,3.5649493574615367
gnu,3.970414465569701
guten,3.970414465569701
gü,3.970414465569701
güwerlema,3.970414465569701
ha,2.717651497074333
haben,3.970414465569701
halt,3.5649493574615367
halte,3.5649493574615367
hasch,3.970414465569701
hat,3.970414465569701
heb,3.5649493574615367
heisch,3.970414465569701
herr,3.277267285009756
hier,3.277267285009756
hilf,3.5649493574615367
hinterfir,3.970414465569701
hold,3.970414465569701
hàn,3.5649493574615367
häise,3.970414465569701
hörsch,3.970414465569701
ich,2.3609765531356004
im,3.5649493574615367
in,3.970414465569701
isch,2.2656663733312756
ist,3.970414465569701
iwler,3.970414465569701
jetz,3.5649493574615367
jetzt,3.5649493574615367
jo,3.277267285009756
ka,3.5649493574615367
kaltblietig,3.970414465569701
kasch,3.5649493574615367
kei,3.0541237336955462
kein,3.970414465569701
keine,3.970414465569701
keller,3.970414465569701
kerl,3.970414465569701
kisse,3.970414465569701
knnnt,3.970414465569701
kumme,3.0541237336955462
kummennt,3.970414465569701
kummissär,3.5649493574615367
kunnt,3.5649493574615367
känne,3.970414465569701
käpfle,3.970414465569701
küm,3.970414465569701
langer,3.970414465569701
ligsch,3.970414465569701
liter,3.970414465569701
lo,3.277267285009756
los,3.5649493574615367
loss,3.5649493574615367
lunge,3.970414465569701
lüeg,3.970414465569701
lüft,3.970414465569701
ma,3.970414465569701
mache,3.970414465569701
machen,3.970414465569701
mal,3.970414465569701
marsch,3.5649493574615367
meh,3.970414465569701
meinen,3.970414465569701
mi,2.8718021769015913
mich,3.5649493574615367
miehsam,3.970414465569701
mien,3.970414465569701
miesse,3.970414465569701
mir,3.5649493574615367
mit,3.970414465569701
mr,2.717651497074333
mächt,3.970414465569701
mül,3.970414465569701
müre,3.970414465569701
na,3.970414465569701
nachtlu,3.970414465569701
ne,2.8718021769015913
nei,3.5649493574615367
neüe,3.970414465569701
niene,3.970414465569701
nimmig,3.5649493574615367
nitt,2.8718021769015913
noch,3.0541237336955462
numme,3.970414465569701
nur,3.5649493574615367
parterre,3.970414465569701
procewàrwel,3.970414465569701
protokoll,3.970414465569701
präsident,3.970414465569701
red,3.970414465569701
rede,3.970414465569701
reden,3.970414465569701
redt,3.970414465569701
rhumetisse,3.970414465569701
ruck,3.970414465569701
ruhig,3.970414465569701
sache,3.970414465569701
sag,3.970414465569701
sage,3.970414465569701
sait,3.970414465569701
schindetir,3.970414465569701
schla,3.970414465569701
schnalle,3.970414465569701
schnide,3.970414465569701
scho,3.970414465569701
schreien,3.970414465569701
schreit,3.970414465569701
schritte,3.970414465569701
schriwe,3.970414465569701
schutzmann,2.09861228866811
schweigen,3.970414465569701
schön,3.970414465569701
se,3.5649493574615367
sechs,3.970414465569701
seppi,1.5280674302004966
si,3.970414465569701
sie,2.1786549963416464
sin,3.970414465569701
singt,3.970414465569701
sinn,3.970414465569701
siter,3.970414465569701
so,3.277267285009756
sogleich,3.970414465569701
sonst,3.970414465569701
spittel,3.970414465569701
spät,3.970414465569701
stand,3.5649493574615367
steckt,3.970414465569701
steh,3.970414465569701
stehn,3.970414465569701
steht,3.5649493574615367
stellaa,3.970414465569701
stempeneie,3.970414465569701
stilli,3.0541237336955462
su,3.970414465569701
sunscht,3.970414465569701
sàh,3.970414465569701
sàhn,3.970414465569701
taüb,3.970414465569701
thien,3.5649493574615367
thüe,3.970414465569701
tramway,3.970414465569701
trinke,3.5649493574615367
trunkenbold,3.970414465569701
ufhewe,3.970414465569701
ufsteh,3.970414465569701
um,3.970414465569701
un,3.0541237336955462
und,3.5649493574615367
unde,3.5649493574615367
uns,3.0541237336955462
unterstützt,3.970414465569701
velicht,3.970414465569701
vertrage,3.970414465569701
verzeihj,3.970414465569701
verzählsch,3.970414465569701
vo,3.5649493574615367
vom,3.970414465569701
von,3.970414465569701
vorwärts,3.970414465569701
was,3.277267285009756
weg,3.970414465569701
welle,3.970414465569701
wenn,3.5649493574615367
wer,3.970414465569701
werd,3.970414465569701
wi,3.970414465569701
wide,3.970414465569701
wie,3.277267285009756
will,3.0541237336955462
wird,3.970414465569701
wirsch,3.970414465569701
wisse,3.970414465569701
witem,3.970414465569701
wo,3.277267285009756
woge,3.970414465569701
wohler,3.5649493574615367
wohnen,3.970414465569701
wànn,3.970414465569701
zeig,3.5649493574615367
zeigt,3.970414465569701
zittel,3.970414465569701
zornig,3.970414465569701
zunge,3.970414465569701
züem,2.5841201044498106
üf,3.277267285009756
ühre,3.970414465569701
üre,3.970414465569701
