words,idf
ab,4.844814255734696
abdankt,5.537961436294641
abelangt,5.537961436294641
abete,5.537961436294641
abfire,5.537961436294641
abg,5.537961436294641
abgà,5.537961436294641
abliefere,5.537961436294641
absite,5.537961436294641
abstàiwe,5.537961436294641
abtrete,5.537961436294641
ach,5.537961436294641
achdung,5.537961436294641
achtet,5.537961436294641
adie,5.537961436294641
aelterer,5.132496328186477
ag,4.621670704420486
age,5.537961436294641
ah,4.151667075174751
aha,4.844814255734696
aklagt,5.537961436294641
aku,5.537961436294641
alege,5.132496328186477
all,5.132496328186477
alle,3.7462019670665865
allei,4.285198467799273
allem,5.537961436294641
alles,3.928523523860541
allewil,3.3978952727983707
allons,5.537961436294641
als,3.928523523860541
also,3.833213344056216
alt,5.537961436294641
alter,5.537961436294641
am,3.4585198946148052
an,3.592051287239328
and,4.844814255734696
ander,5.537961436294641
andere,4.439349147626531
anderscht,5.537961436294641
anderst,5.132496328186477
andre,5.132496328186477
andrer,5.537961436294641
andrs,5.537961436294641
ane,4.033884039518368
aneg,5.537961436294641
anetho,5.537961436294641
anfang,4.033884039518368
angst,4.621670704420486
ans,5.537961436294641
anstatt,4.439349147626531
antwortet,5.537961436294641
arm,5.132496328186477
arme,5.537961436294641
arrangiert,5.537961436294641
art,4.621670704420486
as,4.033884039518368
ass,2.2992829841302607
astelle,5.132496328186477
atreffe,5.537961436294641
atroffe,5.537961436294641
atrunke,5.537961436294641
aus,5.537961436294641
awe,4.439349147626531
awer,2.54222916274065
aügesblick,4.439349147626531
baar,5.537961436294641
baracke,5.537961436294641
bazer,5.537961436294641
bediene,5.537961436294641
begniegt,5.537961436294641
begrife,5.537961436294641
beide,4.439349147626531
bekämme,5.537961436294641
benàmme,5.537961436294641
besser,4.285198467799273
beste,4.844814255734696
betrachtet,5.537961436294641
betrage,5.537961436294641
bewache,5.537961436294641
bewohne,5.537961436294641
bezige,5.537961436294641
bi,3.4585198946148052
bien,4.844814255734696
bierhiser,5.537961436294641
bierhüs,5.132496328186477
biku,5.132496328186477
bikunnt,5.537961436294641
bim,5.132496328186477
bin,3.7462019670665865
bis,3.592051287239328
bisch,5.132496328186477
bisst,5.537961436294641
bitt,5.537961436294641
blib,5.537961436294641
blibt,4.844814255734696
blind,5.537961436294641
bliwe,4.844814255734696
bode,5.132496328186477
bol,4.151667075174751
