words,idf
2000,5.727387818712341
ab,4.0226397264739155
abend,5.321922710604176
abendschoppen,5.727387818712341
aber,3.7814776696570274
abgeben,5.727387818712341
abgehen,5.727387818712341
abgelernt,5.727387818712341
abgelese,5.727387818712341
abreise,5.727387818712341
abscheili,5.727387818712341
abschmiß,5.727387818712341
abzuholen,5.727387818712341
ach,5.321922710604176
acht,5.727387818712341
adien,5.727387818712341
adieu,5.727387818712341
advocat,5.727387818712341
aelterer,5.321922710604176
aff,5.727387818712341
ah,4.474624850216973
aha,5.321922710604176
ahmt,5.727387818712341
akkord,5.727387818712341
akkurat,5.727387818712341
all,5.321922710604176
alle,4.474624850216973
alledaa,5.727387818712341
allei,5.034240638152395
allem,5.321922710604176
allemal,5.727387818712341
allemol,5.727387818712341
aller,5.727387818712341
allerhand,5.727387818712341
alles,3.3760125615488628
alleweg,5.727387818712341
alli,4.811097086838186
allons,4.474624850216973
alls,5.727387818712341
als,3.855585641810749
alsfurt,5.727387818712341
also,4.34109345759245
alt,4.811097086838186
alter,5.034240638152395
altes,5.727387818712341
alti,5.727387818712341
am,3.7814776696570274
amtsgericht,5.727387818712341
amüsiere,5.727387818712341
an,3.6479462770325046
andere,5.727387818712341
anderi,5.034240638152395
andermol,5.727387818712341
andersch,5.321922710604176
andlig,5.034240638152395
andri,5.727387818712341
andrs,5.727387818712341
ane,5.727387818712341
anekeit,5.727387818712341
anfang,5.321922710604176
angeboten,5.321922710604176
angelegen,5.727387818712341
angenehme,5.034240638152395
angenommen,5.727387818712341
angenumme,5.321922710604176
angestift,5.727387818712341
angst,5.727387818712341
angsteckt,5.727387818712341
annahme,5.727387818712341
anne,5.727387818712341
anno,5.727387818712341
annonce,5.727387818712341
anprobiere,5.727387818712341
ansteckend,5.727387818712341
anstellt,5.727387818712341
arbeite,5.727387818712341
argent,5.321922710604176
argents,5.727387818712341
arm,5.321922710604176
arme,5.727387818712341
arms,5.727387818712341
armseliger,5.727387818712341
armsündergsicht,5.727387818712341
arre,5.727387818712341
arretiere,5.321922710604176
arti,5.727387818712341
assure,5.727387818712341
attaque,5.727387818712341
au,2.8941744746561247
aubettesaal,5.727387818712341
auch,4.474624850216973
aue,5.727387818712341
aueblick,5.727387818712341
auf,3.7124847981700757
auffetzen,5.727387818712341
aufgeregter,5.727387818712341
auflauf,5.321922710604176
aufspringend,5.727387818712341
aufzudecken,5.727387818712341
aufzutreiben,5.727387818712341
augen,5.727387818712341
auh,5.727387818712341
aus,5.321922710604176
ausgestorben,5.727387818712341
ausreißer,5.727387818712341
avec,5.321922710604176
awer,3.32949254591397
aüf,5.321922710604176
babble,5.727387818712341
babe,5.727387818712341
bachstelz,5.727387818712341
bah,5.321922710604176
bairisch,5.727387818712341
bal,4.223310421936066
bande,5.727387818712341
bankrott,5.727387818712341
baquette,5.727387818712341
bater,5.727387818712341
bauern,5.727387818712341
be,5.727387818712341
beaucoup,5.034240638152395
bebelenz,5.727387818712341
bedidde,5.727387818712341
befehle,5.727387818712341
begleiten,5.727387818712341
begrieße,5.727387818712341
bei,5.321922710604176
beide,5.034240638152395
beine,5.727387818712341
beisammen,5.321922710604176
bekomm,5.727387818712341
bekummet,5.727387818712341
bekummt,5.321922710604176
beläidig,5.727387818712341
bemeistere,5.727387818712341
bendelwurm,5.727387818712341
benfeld,5.727387818712341
beniede,5.727387818712341
ber,5.727387818712341
berliner,5.727387818712341
besen,5.034240638152395
