words,idf
1000,6.6222108209623896
120,6.6222108209623896
13,6.216745712854225
14,6.6222108209623896
150,6.6222108209623896
20,5.929063640402444
200,6.216745712854225
240,6.216745712854225
25,6.216745712854225
30,5.3694478524670215
40,6.216745712854225
49,6.216745712854225
50,5.929063640402444
80,6.6222108209623896
800,6.216745712854225
ab,4.370919022355894
aba,6.6222108209623896
abah,5.929063640402444
abendglöckchen,6.6222108209623896
aber,6.6222108209623896
abfahren,6.6222108209623896
abg,6.6222108209623896
abgawe,6.6222108209623896
abgehend,6.6222108209623896
abgemacht,6.6222108209623896
abstimme,6.6222108209623896
abze,6.6222108209623896
accent,6.216745712854225
ach,5.3694478524670215
achdung,6.216745712854225
achsel,6.6222108209623896
acht,5.929063640402444
adie,6.6222108209623896
adje,6.6222108209623896
adjeh,6.6222108209623896
adjunkt,5.7059200890882344
advocat,6.216745712854225
aelterer,6.216745712854225
affe,6.6222108209623896
afrik,6.6222108209623896
agrarier,6.6222108209623896
ah,4.917462728723964
aha,6.6222108209623896
ahnlichkäit,6.6222108209623896
ai,6.6222108209623896
all,5.929063640402444
alle,3.156474918162663
alleh,5.5235985322942796
allehopp,6.6222108209623896
allem,6.6222108209623896
aller,6.6222108209623896
alles,3.948062171535861
allewil,5.012772908528289
allewill,6.6222108209623896
allewäij,6.6222108209623896
alli,4.137304171174389
aloys,2.920908846849896
als,4.370919022355894
alsace,6.216745712854225
alsdann,6.6222108209623896
also,4.830451351734334
alt,5.929063640402444
alter,5.929063640402444
alti,6.216745712854225
am,3.8188504400558547
ameri,5.5235985322942796
amerika,4.179863785593185
amerikaner,4.224315548164019
amerikanisch,6.216745712854225
amusement,6.6222108209623896
amü,6.6222108209623896
amüsiere,6.6222108209623896
an,3.110665382131369
and,6.216745712854225
ander,6.216745712854225
andere,5.7059200890882344
anderi,5.929063640402444
andermol,6.6222108209623896
andern,5.7059200890882344
andersch,5.929063640402444
andlig,6.6222108209623896
andrs,6.216745712854225
ane,6.216745712854225
anfang,6.216745712854225
anfangt,6.6222108209623896
ang,6.6222108209623896
ange,6.6222108209623896
angebunge,6.6222108209623896
angegebenen,6.216745712854225
angelonn,6.6222108209623896
angenommen,6.6222108209623896
angenumme,6.216745712854225
angst,5.118133424186116
angücke,6.6222108209623896
anhält,6.6222108209623896
ani,6.6222108209623896
ankummt,6.6222108209623896
anmerkung,6.6222108209623896
annahme,6.6222108209623896
anne,6.216745712854225
annekumme,6.216745712854225
annimmt,6.6222108209623896
anoch,6.6222108209623896
ans,6.6222108209623896
anschaffe,6.6222108209623896
anstandi,6.6222108209623896
anstelle,6.6222108209623896
antoine,2.9978698879860244
antrifft,6.6222108209623896
anträuj,6.6222108209623896
appedit,5.3694478524670215
ar,3.601785934818027
arich,6.6222108209623896
arm,5.5235985322942796
arme,5.7059200890882344
armes,6.6222108209623896
arrich,5.7059200890882344
arweiter,6.6222108209623896
as,3.601785934818027
ass,3.508695511752015
asse,5.235916459842499
assezitt,6.6222108209623896
au,4.542769279282553
auch,5.3694478524670215
aue,6.6222108209623896
auf,3.8813707970371887
aufgeregter,6.6222108209623896
aufstehend,5.3694478524670215
auftritts,6.6222108209623896
aufwachend,6.216745712854225
aufzug,6.216745712854225
augen,6.6222108209623896
aus,5.012772908528289
ausser,5.5235985322942796
ausziehen,6.6222108209623896
awer,3.2723067336877847
awwer,6.6222108209623896
aüf,6.6222108209623896
aüfgeregter,6.6222108209623896
aüfstehend,6.6222108209623896
babbelt,6.216745712854225
babble,6.6222108209623896
babiere,6.216745712854225
babierer,5.7059200890882344
backe,6.6222108209623896
backen,6.6222108209623896
backenbart,6.6222108209623896
badische,6.6222108209623896
baendern,6.6222108209623896
baenke,6.6222108209623896
ball,5.3694478524670215
bande,6.6222108209623896
bandele,6.6222108209623896
bank,5.7059200890882344
bardessü,5.3694478524670215
barri,6.6222108209623896
barsch,5.929063640402444
bart,6.216745712854225
bass,6.6222108209623896
basse,6.216745712854225
bau,6.6222108209623896
bauern,4.607307800420125
bauernfrack,6.6222108209623896
bauernhut,6.6222108209623896
bauernhüte,6.6222108209623896
bauerntisch,6.6222108209623896
be,5.7059200890882344
bedanke,6.6222108209623896
bedrachte,6.6222108209623896
bedächtig,6.6222108209623896
beendigung,6.6222108209623896
befehl,6.216745712854225
begrüssen,6.6222108209623896
bei,6.6222108209623896
beide,6.6222108209623896
beiden,6.6222108209623896
beifall,5.7059200890882344
beim,5.929063640402444
bein,6.6222108209623896
beisammen,5.929063640402444
bekannte,6.6222108209623896
bekomm,5.929063640402444
bekummsch,6.6222108209623896
bekummt,5.929063640402444
bekämte,6.6222108209623896
beleebt,6.6222108209623896
belie,6.6222108209623896
bels,6.6222108209623896
beläidig,6.216745712854225
bemerkten,6.6222108209623896
benützen,6.6222108209623896
bequemer,6.6222108209623896
berri,6.6222108209623896
beruf,6.6222108209623896
beschta,6.6222108209623896
beschte,5.7059200890882344
besen,6.216745712854225
besprechüng,6.6222108209623896
besser,5.929063640402444
besseri,6.6222108209623896
bestürzt,6.6222108209623896
betrach,6.6222108209623896
betrachtet,5.5235985322942796
betreffs,6.6222108209623896
bett,5.929063640402444
beuge,6.6222108209623896
bewegt,6.6222108209623896
bezahl,5.929063640402444
bezahle,5.012772908528289
bezahlt,5.929063640402444
bezitte,6.6222108209623896
bezweck,6.6222108209623896
bi,6.216745712854225
bie,4.830451351734334
biem,6.6222108209623896
bien,6.6222108209623896
bigen,6.6222108209623896
bilder,6.6222108209623896
bim,6.6222108209623896
bin,3.48671660503324
binde,6.6222108209623896
bis,4.750408644060798
bisch,4.607307800420125
bischwiller,6.6222108209623896
bissel,5.012772908528289
bissig,6.216745712854225
bitt,5.929063640402444
bittet,6.6222108209623896
blamert,6.216745712854225
bleiben,6.6222108209623896
bleibend,6.6222108209623896
bleibt,6.6222108209623896
blie,6.6222108209623896
bliekt,6.6222108209623896
bliet,6.6222108209623896
bliewe,6.216745712854225
blöde,6.6222108209623896
boden,6.216745712854225
bon,6.6222108209623896
bonheur,6.6222108209623896
bonjour,5.012772908528289
bourmajor,6.6222108209623896
bra,6.6222108209623896
branne,6.216745712854225
brannt,6.216745712854225
brauner,6.6222108209623896
bravo,4.830451351734334
breiti,6.6222108209623896
brennt,6.6222108209623896
bresele,6.6222108209623896
brief,5.5235985322942796
bringt,6.6222108209623896
brocke,6.6222108209623896
brot,6.6222108209623896
brotwurscht,6.6222108209623896
browiere,6.216745712854225
brrr,6.6222108209623896
brüch,6.6222108209623896
brüche,4.676300671907076
brücht,5.929063640402444
brüech,6.6222108209623896
buch,6.6222108209623896
buchstawe,6.6222108209623896
buckel,5.7059200890882344
bue,6.6222108209623896
buewe,6.6222108209623896
bum,6.6222108209623896
bumbe,6.6222108209623896
bunden,6.6222108209623896
bur,6.6222108209623896
burjer,5.929063640402444
burjerschaft,6.6222108209623896
burri,6.6222108209623896
burschen,4.750408644060798
burscht,5.235916459842499
bynander,5.235916459842499
bächknippe,6.6222108209623896
bäischpiel,6.6222108209623896
böes,5.929063640402444
böije,6.216745712854225
bückling,6.6222108209623896
büecher,6.6222108209623896
