words,idf
ab,3.2442495159810822
absaa,5.952299717083292
abteilung,4.699536748587924
accord,5.952299717083292
ach,5.952299717083292
achsel,5.952299717083292
acht,5.952299717083292
achte,5.952299717083292
ah,4.247551624844867
aha,5.952299717083292
alle,5.952299717083292
allei,5.952299717083292
allem,5.952299717083292
allerdings,5.036008985209137
alles,5.546834608975128
allewil,5.952299717083292
allewyll,5.952299717083292
allewäj,5.952299717083292
allez,5.952299717083292
alli,4.699536748587924
als,4.006389568027979
also,4.853687428415183
alt,5.952299717083292
am,4.5660053559634015
an,3.649714624089247
ander,5.952299717083292
andere,5.259152536523347
anderen,5.952299717083292
anderi,5.952299717083292
andersch,5.952299717083292
andlig,5.036008985209137
andräj,5.952299717083292
ang,5.036008985209137
angewend,5.952299717083292
anne,5.546834608975128
annonce,5.952299717083292
anstalt,5.952299717083292
anstaltsmantel,5.546834608975128
antwort,5.546834608975128
anzestosse,5.952299717083292
arich,5.952299717083292
arm,4.853687428415183
arnscht,5.952299717083292
artist,5.952299717083292
arweiter,5.952299717083292
ass,3.2442495159810822
au,3.6009244599198147
aufgeregter,4.853687428415183
awer,3.3873503596217556
babbele,5.952299717083292
babbelfritz,5.952299717083292
babble,5.952299717083292
baddabing,5.952299717083292
baff,5.259152536523347
ball,5.259152536523347
bande,5.952299717083292
beau,5.952299717083292
begehn,5.952299717083292
behandeln,5.952299717083292
behandlung,5.952299717083292
beherrsche,5.952299717083292
behietmich,5.952299717083292
beide,5.546834608975128
beidi,5.036008985209137
bekannter,5.952299717083292
bekanntlich,5.952299717083292
bekomm,5.036008985209137
bekumm,5.546834608975128
beleebt,5.952299717083292
bendélé,5.036008985209137
bes,5.546834608975128
besser,4.853687428415183
besseri,5.952299717083292
beweise,5.546834608975128
bibbele,5.546834608975128
bin,3.119086373027076
bis,4.699536748587924
bissel,5.952299717083292
bist,5.952299717083292
bitt,5.546834608975128
biwel,5.952299717083292
blejele,5.036008985209137
blicke,5.952299717083292
bloose,5.952299717083292
blyet,5.952299717083292
blyewe,5.546834608975128
bock,5.952299717083292
bodde,5.952299717083292
bon,5.952299717083292
boshaftigi,5.952299717083292
brache,5.952299717083292
brava,5.952299717083292
bref,5.952299717083292
brenzlich,5.952299717083292
briahla,5.952299717083292
brief,5.036008985209137
briefwechsel,5.952299717083292
bringe,5.952299717083292
brocke,5.952299717083292
brummer,2.2387276503789844
brächt,5.952299717083292
brüch,5.952299717083292
buckel,5.546834608975128
by,4.853687428415183
bym,5.952299717083292
bäbbe,5.036008985209137
cabine,4.699536748587924
cher,5.952299717083292
claire,5.952299717083292
commission,5.952299717083292
da,5.952299717083292
daadsächlich,5.952299717083292
dach,5.036008985209137
danke,5.952299717083292
dass,5.952299717083292
dato,5.952299717083292
de,2.838784407872918
deby,5.546834608975128
defur,5.952299717083292
defür,5.952299717083292
dejfels,5.952299717083292
dem,3.7550751397470727
den,5.952299717083292
denk,5.952299717083292
denke,5.546834608975128
denn,3.2781510676567636
denne,3.8122335535870215
der,3.8122335535870215
dere,5.036008985209137
dezue,5.036008985209137
dhue,5.952299717083292
dhät,5.952299717083292
dich,5.952299717083292
die,4.247551624844867
dier,5.036008985209137
dierele,5.259152536523347
dieu,5.546834608975128
dir,5.952299717083292
directement,5.952299717083292
direkt,5.952299717083292
diss,2.7952992959331793
dito,5.952299717083292
do,2.753626599532611
doch,3.119086373027076
dochtermann,5.546834608975128
dohere,5.546834608975128
dohinne,5.259152536523347
doktor,2.6381137124107665
doochder,4.247551624844867
dood,5.546834608975128
dor,5.952299717083292
dort,4.853687428415183
dorte,5.952299717083292
dran,5.546834608975128
drinne,5.546834608975128
drumbier,5.952299717083292
drumpier,5.952299717083292
drähjt,5.952299717083292
drüsse,5.546834608975128
du,5.952299717083292
durch,5.952299717083292
durich,5.546834608975128
durst,5.952299717083292
dym,5.952299717083292
dyn,5.952299717083292
dü,5.259152536523347
ebb,5.952299717083292
ebber,4.853687428415183
ebbs,4.5660053559634015
eck,5.952299717083292
eenfach,5.952299717083292
egal,5.546834608975128
ei,4.853687428415183
eijetlich,5.259152536523347
ein,5.952299717083292
einer,5.259152536523347
einschtwylle,5.952299717083292
ejch,4.853687428415183
eklatante,5.952299717083292
emool,4.853687428415183
end,5.259152536523347
er,3.5544044442849216
erabb,5.546834608975128
erbschlycher,5.952299717083292
erfahrung,5.952299717083292
erklär,5.952299717083292
erläwe,5.952299717083292
erscht,5.036008985209137
erum,5.036008985209137
erumrennt,5.952299717083292
erumzedrähje,5.952299717083292
eryng,5.952299717083292
erächt,5.952299717083292
erüss,5.546834608975128
eso,5.546834608975128
etc,5.952299717083292
euphrosine,2.9565674435293015
ewe,5.259152536523347
exküsiere,5.546834608975128
fahlt,5.546834608975128
fal,5.259152536523347
fallt,4.853687428415183
famili,5.952299717083292
fange,4.853687428415183
fangeschaft,5.952299717083292
farce,5.952299717083292
fenschter,5.952299717083292
feschti,5.952299717083292
fianciererej,5.952299717083292
fiancée,5.036008985209137
fiehre,5.546834608975128
fiess,5.952299717083292
fifi,5.952299717083292
find,5.952299717083292
finde,5.259152536523347
finger,5.952299717083292
fitzer,5.952299717083292
flieje,5.952299717083292
fliejt,5.952299717083292
fläschel,5.952299717083292
flöje,5.259152536523347
folje,5.546834608975128
frack,5.546834608975128
fraidedaa,5.952299717083292
frau,5.546834608975128
frauele,5.952299717083292
freia,5.952299717083292
frejheite,5.546834608975128
fresse,5.952299717083292
fresst,5.952299717083292
frinde,5.952299717083292
fräch,5.952299717083292
fräid,5.546834608975128
fränkle,5.952299717083292
fräulein,5.952299717083292
fröj,5.952299717083292
fröjt,5.952299717083292
funde,5.952299717083292
fur,2.4710596277476005
furt,5.546834608975128
furtfliejt,5.546834608975128
furtg,5.259152536523347
fæhler,5.952299717083292
für,5.952299717083292
füscht,5.952299717083292
gald,5.036008985209137
gange,5.546834608975128
gans,5.952299717083292
ganz,4.160540247855238
gar,4.342861804649192
gauner,5.952299717083292
