words,idf
53,6.0072963928307415
ab,3.9923933722884763
abartiger,6.0072963928307415
abartigs,6.0072963928307415
abbedeeker,6.0072963928307415
aber,6.0072963928307415
abgehen,6.0072963928307415
abschlaa,6.0072963928307415
absolument,5.314149212270796
abtheilung,6.0072963928307415
abzehole,5.601831284722577
acceptier,6.0072963928307415
acceptiert,6.0072963928307415
ach,5.091005660956586
adie,5.601831284722577
adieu,6.0072963928307415
adje,5.314149212270796
aelterer,6.0072963928307415
affär,6.0072963928307415
afphonsel,6.0072963928307415
ah,3.4423470353692043
ai,6.0072963928307415
aime,5.601831284722577
aimes,6.0072963928307415
all,6.0072963928307415
alle,5.314149212270796
allei,4.9086841041626315
allerheilige,5.601831284722577
alles,4.397858480396641
allewil,4.7545334243353725
allewyll,6.0072963928307415
allewäj,5.091005660956586
allez,6.0072963928307415
alli,4.9086841041626315
allons,5.091005660956586
alors,6.0072963928307415
alphonse,6.0072963928307415
alphonsel,3.1740830487745253
als,3.6559211356672634
also,6.0072963928307415
alt,5.601831284722577
alter,6.0072963928307415
altfränkisch,6.0072963928307415
alti,5.091005660956586
am,4.397858480396641
amend,5.314149212270796
ami,6.0072963928307415
amour,6.0072963928307415
an,3.609401120032371
ander,5.601831284722577
andere,4.621002031710851
anderi,5.601831284722577
andermol,6.0072963928307415
andersch,5.314149212270796
andersmol,6.0072963928307415
anfang,6.0072963928307415
anfassen,6.0072963928307415
ang,6.0072963928307415
angedohn,5.314149212270796
angeht,6.0072963928307415
angele,6.0072963928307415
angemacht,6.0072963928307415
angerennt,6.0072963928307415
angetroffe,6.0072963928307415
angezogen,6.0072963928307415
angst,5.601831284722577
anmüthi,6.0072963928307415
anne,5.091005660956586
annere,6.0072963928307415
annäije,6.0072963928307415
ans,6.0072963928307415
antwort,6.0072963928307415
aris,6.0072963928307415
arm,4.7545334243353725
arms,6.0072963928307415
arnscht,6.0072963928307415
arri,5.091005660956586
artli,5.601831284722577
as,5.091005660956586
attends,6.0072963928307415
au,2.893781083620367
aue,4.9086841041626315
auesblik,6.0072963928307415
auf,4.621002031710851
autrement,6.0072963928307415
avec,5.601831284722577
awer,3.01156411927675
awwer,6.0072963928307415
aß,6.0072963928307415
babbler,6.0072963928307415
bachstein,6.0072963928307415
backe,6.0072963928307415
badisch,6.0072963928307415
bah,5.601831284722577
bake,6.0072963928307415
ball,5.601831284722577
bandele,6.0072963928307415
barickeszipfel,6.0072963928307415
bassiere,6.0072963928307415
bassirt,6.0072963928307415
baß,6.0072963928307415
bedanke,6.0072963928307415
bedürt,6.0072963928307415
befinde,6.0072963928307415
begrüssung,6.0072963928307415
bei,3.1740830487745253
beide,6.0072963928307415
bein,5.601831284722577
bekehrt,5.314149212270796
beleebt,6.0072963928307415
benied,6.0072963928307415
beniede,5.601831284722577
beruhigt,6.0072963928307415
bescht,6.0072963928307415
beschte,5.601831284722577
besestiel,6.0072963928307415
besser,6.0072963928307415
bewiesa,6.0072963928307415
bi,4.503218996054467
bien,4.302548300592315
bild,6.0072963928307415
bildsch,6.0072963928307415
bin,3.481567748522486
bis,5.091005660956586
bisch,4.215536923602686
bissel,5.314149212270796
bitt,5.314149212270796
bleibt,5.601831284722577
blessiere,6.0072963928307415
bleue,6.0072963928307415
blick,6.0072963928307415
bliewe,5.091005660956586
bloose,6.0072963928307415
blotzmeier,2.510788831364261
blotzständel,6.0072963928307415
blouse,6.0072963928307415
bluet,5.601831284722577
bon,5.091005660956586
bonheur,5.601831284722577
bonjour,5.091005660956586
bonne,5.601831284722577
brache,6.0072963928307415
bref,6.0072963928307415
brennt,6.0072963928307415
brief,6.0072963928307415
briefel,6.0072963928307415
briefle,6.0072963928307415
bring,5.601831284722577
bringe,5.601831284722577
broche,6.0072963928307415
broote,6.0072963928307415
bruscht,5.601831284722577
brüche,6.0072963928307415
brüchsch,6.0072963928307415
brücht,6.0072963928307415
brüeder,6.0072963928307415
buckel,6.0072963928307415
bue,5.601831284722577
buetze,5.601831284722577
bunt,6.0072963928307415
bureau,6.0072963928307415
burzelbaum,6.0072963928307415
butzt,6.0072963928307415
bäbbe,6.0072963928307415
bächle,6.0072963928307415
böjen,6.0072963928307415
bös,6.0072963928307415
böse,5.601831284722577
bürschte,6.0072963928307415
café,5.601831284722577
calmier,6.0072963928307415
cauchemar,6.0072963928307415
ce,5.091005660956586
cet,6.0072963928307415
cette,6.0072963928307415
champion,6.0072963928307415
chance,5.601831284722577
chapelier,6.0072963928307415
charmante,5.601831284722577
cher,4.9086841041626315
chez,6.0072963928307415
chic,5.314149212270796
