drama_type,speaker,sex,job,social_class,text,numTokens,numLexTokens,avgLexVal,lexRatio
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.0,1.0
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.0,1.0
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.0,1.0
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.0,1.0
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Jetz, Franz, wo si mr?... ich glaüb, mr känne dr
                        Robinson spiele, denn 's schint mr e-n-Insle z'si, wo
                        Nieme druf isch... jetz stecke mr in schöne Schüeh!...
                    
",33,6,0.36178901693230875,0.18181818181818182
unknown,FRANZ,M,,,"Franz.
In nasse stecke mr uf jedefall... isch jetz das fatal,
                    
eso Schiffbruch z'lide mittle-n-uf em Meer!...
",20,5,0.1234,0.25
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Natirlig uf em Meer... d'heim in dr Stuwe kasch alleweg
                        nitt Schiffbruch lide!...
                    
",16,4,0.0,0.25
unknown,FRANZ,M,,,"Franz.
Worum si mr awer o furt vo d'heim! Worum hà mr welle Di
                        Tochter, mi Cüsine, wo mit ihrem Liebhawer uf un
                        dervo isch, geh süeche in Amerika... jetz hà mr's...
                        oh! we mr doch nur wieder z'Milhüse wàre in dr
                        Fröscheweid!
                    
",46,4,0.30074999999999996,0.08695652173913043
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Bisch Dü nitt o vo dr Familie?... geht's Dich nitt a wie
                        mich, wenn Ihre-n-Ehr in G'fohr isch... un Dü
                        hättsch doch Di alter Oncle nitt welle-n-allei geh
                        lo...
                    
",36,7,0.17857142857142858,0.19444444444444445
unknown,FRANZ,M,,,"Franz.
Mir hätte jo mitnander känne d'heim bliwe... wer weisst,
                        wo 's Jettele ane-n-isch mit sim Edi...
                    
",20,2,0.3085,0.1
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Nach Amerika sin se!... De weisch jo, ass me se g'sàh
                        hat ischiffe vor drei Monet... wenn ich's awer
                        g'wisst hätt, so wàr ich eher furt... De weisch, wenn
                        ich ebbes im Kopf ha, so müess es gli g'macht si!
                    
",43,3,0.0,0.06976744186046512
unknown,FRANZ,M,,,"Franz.
's hat is viel g'nutzt jetz, ass mr furt sin...
",11,1,0.617,0.09090909090909091
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Bàh... was g'schàh isch, das isch g'schàh... was nutzt
                        jetz das jomere!... mr wànn liewer
                        e-n-Unterschlupf süeche-n-un trachte, ass mr nitt in e
                        paar Menschefresser in d'Hànd laüfe, wo viellicht
                        uf dàre-n-Insle kännte si... (er lüegt ummenander) was
                        ha-n-i g'sàit... schaü, do mien no nitt lang e
                        paar gsi si an dem Fir, denn 's raücht noch e wenig!...
                        jetz heisst's ufpasst, we mr wànn unsere
                        Côtelettes wieder uf Milhüse z'ruck bringe!
                    
",87,13,0.09047474457702599,0.14942528735632185
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
",1,1,0.0,1.0
unknown,FRANZ,M,,,"Franz.
Bscht!... still... 
",3,2,0.3085,0.6666666666666666
unknown,Herr SCHNELL,M,,,"Herr Schnell
(hebt 'n z'ruck)
's isch unnöthig, se hàn is scho g'sàh... un se laüfe
                        besser as mir... mr wànn se liewer süeche z'g'winne
                        mit güete Worte...
                    
",32,7,0.23831023992876257,0.21875
unknown,EDI,M,,,"Er.
Still!... sag nit... se kenne-n-uns nitt in dem
                        Costüm!...
                    
",12,1,0.0,0.08333333333333333
unknown,Herr SCHNELL,M,,,"Herr Schnell
(züem Franz)
Loss mich nur mache... se schine mir nitt so
                        kannibalisch z'si... ich ka ne wenig indianisch rede
                        
",24,4,0.32999999999999996,0.16666666666666666
unknown,EDI,M,,,"Dr Wilde.
Nix, Nix...
",4,1,0.4754471478091294,0.25
unknown,FRANZ,M,,,"Franz
(züem Herr Schnell)
Er sàit gix, gix!... mir sin verlore!... Das sin vo
                        dàne, we me ne ebbes z'esse heischt, so offriere
                        se-n-eim e Stickle kalter Missionär!...
                    
",33,4,0.15425,0.12121212121212122
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Se verstehn viellicht nitt indianisch... wenn ich thàt
                        Milhüserditsch mit ene rede?... 
",14,3,0.0,0.21428571428571427
unknown,JETTELE,F,,,"Sie.
O Pape!... ich bi's, Di Jettele;... kasch Dü mir
                        verzeihe!... 
",12,1,0.0,0.08333333333333333
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Was!... Dü bisch's!... un dr Edi, dà Halunk...
                        richtig... ich erkenn eüch jetz, trotzdem ass ihr wild
                        worde sin!...
                    
",22,4,0.11886178695228235,0.18181818181818182
unknown,EDI,M,,,"Edi.
Mr hàn halt Angst g'ha vor de rechte Wilde, un do hà mr
                        denkt, mr sin sicherer, we wir se selbst
                        spiele...
                    
",23,6,0.26274119130152157,0.2608695652173913
unknown,FRANZ,M,,,"Franz.
Die zwei g'falle mir jetz noch!...
",7,2,0.3085,0.2857142857142857
