words,idf
10,6.25227342804663
100,6.25227342804663
1000,6.25227342804663
20,6.25227342804663
50,6.25227342804663
70,6.25227342804663
aachen,6.25227342804663
ab,3.9496883350525844
aber,4.999510459551262
abertoisig,6.25227342804663
abfalla,6.25227342804663
abgehend,6.25227342804663
abgelegt,6.25227342804663
abgred,6.25227342804663
abgschlossa,6.25227342804663
abgwandet,6.25227342804663
abloift,6.25227342804663
abprassa,6.25227342804663
abrufend,6.25227342804663
abscheijlich,6.25227342804663
abschied,5.846808319938465
abschiedswort,5.846808319938465
abseits,5.5591262474866845
abteilung,6.25227342804663
abtrünniger,6.25227342804663
abwarta,6.25227342804663
abzulega,6.25227342804663
abzuschwöra,5.846808319938465
abzustehn,6.25227342804663
abzuziega,6.25227342804663
achmed,6.25227342804663
achsel,6.25227342804663
acht,6.25227342804663
achtet,6.25227342804663
adelinda,6.25227342804663
adelinde,3.511433404121429
adieu,6.25227342804663
afalla,6.25227342804663
agfalla,6.25227342804663
aghört,6.25227342804663
agloga,6.25227342804663
agworwa,6.25227342804663
ah,5.5591262474866845
ahmen,6.25227342804663
ahmt,6.25227342804663
ahnend,5.846808319938465
ahnt,6.25227342804663
ahnung,6.25227342804663
all,6.25227342804663
alla,6.25227342804663
alle,4.999510459551262
allei,5.15366113937852
allem,5.846808319938465
aller,5.846808319938465
allerlei,6.25227342804663
allerwaga,6.25227342804663
alles,3.7673667782586295
allgemein,6.25227342804663
alli,4.642835515612529
allmächtiger,6.25227342804663
allo,6.25227342804663
als,3.578124778620101
also,5.5591262474866845
alt,4.865979066926739
alta,4.865979066926739
altar,6.25227342804663
altem,6.25227342804663
alter,5.335982696172475
alti,5.846808319938465
alüegt,6.25227342804663
am,4.237370407504365
ami,6.25227342804663
amol,4.642835515612529
an,2.9751286950544533
ana,5.846808319938465
anagstreckt,6.25227342804663
and,4.999510459551262
ander,5.5591262474866845
anderi,6.25227342804663
andersch,5.15366113937852
anderst,5.335982696172475
andlau,6.25227342804663
andlig,5.5591262474866845
andlosi,6.25227342804663
andr,6.25227342804663
andra,5.15366113937852
andri,4.999510459551262
andrs,5.846808319938465
anfachtunga,6.25227342804663
anfahrend,6.25227342804663
ang,6.25227342804663
angewiedert,6.25227342804663
