words,idf
10,5.987025428457122
12,5.987025428457122
128,5.293878247897177
13,5.987025428457122
25,5.987025428457122
30,5.987025428457122
45,5.987025428457122
697,5.293878247897177
698,5.987025428457122
aa,5.581560320348958
aam,5.987025428457122
aan,4.6007310673372315
aaner,5.581560320348958
aani,5.293878247897177
aans,5.987025428457122
aase,5.987025428457122
ab,3.972122407914857
abgschtaibt,5.987025428457122
abteilung,5.987025428457122
abwerft,5.987025428457122
acht,5.581560320348958
addes,2.2734533617528143
adje,5.987025428457122
adolph,5.070734696582967
aelterer,5.987025428457122
aener,5.987025428457122
aepfel,5.293878247897177
agath,5.987025428457122
ah,5.070734696582967
aha,5.070734696582967
aktien,5.987025428457122
alle,5.293878247897177
allemol,5.987025428457122
alles,5.293878247897177
allewil,5.987025428457122
allez,5.581560320348958
alli,5.581560320348958
allizamme,5.987025428457122
alors,5.987025428457122
als,4.1152232515555305
also,5.581560320348958
alt,5.581560320348958
am,4.4829480316808485
amend,5.987025428457122
amerikanischi,5.987025428457122
an,4.1152232515555305
andanke,5.581560320348958
anduehn,5.987025428457122
anfangt,5.987025428457122
angebisse,5.987025428457122
angebunde,5.581560320348958
angetroffe,5.987025428457122
angsehne,5.987025428457122
angst,5.987025428457122
anne,5.581560320348958
annegeworfe,5.987025428457122
annoch,5.581560320348958
antwort,5.987025428457122
apfel,5.581560320348958
apfeldieb,5.987025428457122
apparat,5.987025428457122
ar,5.987025428457122
arawerhengscht,5.987025428457122
arbeite,5.581560320348958
arig,5.293878247897177
arm,5.293878247897177
arme,5.987025428457122
armeinspektertitel,5.987025428457122
arnscht,5.987025428457122
as,5.987025428457122
ase,5.987025428457122
attention,5.987025428457122
au,3.7898008511209027
auf,4.4829480316808485
aufgeblasen,5.987025428457122
aufs,5.987025428457122
aus,5.293878247897177
auweh,5.987025428457122
avec,5.987025428457122
awer,3.6844403354630764
baan,5.581560320348958
baanstrahle,5.987025428457122
backe,5.987025428457122
ball,5.581560320348958
bank,5.987025428457122
bankier,5.987025428457122
basiert,5.987025428457122
bass,5.987025428457122
basse,5.987025428457122
bataille,5.987025428457122
bedaure,5.987025428457122
bedrachte,5.581560320348958
beginn,5.987025428457122
beide,4.888413139789012
beine,5.987025428457122
beisammen,5.987025428457122
beisst,5.987025428457122
bekomm,5.987025428457122
beleebt,5.581560320348958
bendelmeter,5.987025428457122
bequemer,5.987025428457122
beschte,5.581560320348958
besser,5.293878247897177
bessere,5.987025428457122
biberon,5.987025428457122
bie,4.734262459961753
bien,5.293878247897177
biereschnitz,5.987025428457122
bierreisel,5.987025428457122
bieäräschnitz,5.987025428457122
bild,5.987025428457122
bilde,5.987025428457122
billiger,5.987025428457122
bin,4.377587516023022
bing,5.987025428457122
bis,5.987025428457122
bisch,4.888413139789012
bissel,5.293878247897177
bissele,5.581560320348958
bist,5.987025428457122
bitt,5.987025428457122
bleibt,5.987025428457122
bliebt,5.070734696582967
blitzt,5.987025428457122
blouse,5.581560320348958
bluetig,5.581560320348958
blöuj,5.987025428457122
blöüjs,5.987025428457122
bodde,5.293878247897177
boden,5.987025428457122
bodin,5.293878247897177
bodinmachermaischtersdoochter,5.987025428457122
bonjour,4.4829480316808485
bout,5.987025428457122
box,5.070734696582967
boxkampf,5.987025428457122
branche,5.987025428457122
bravo,5.581560320348958
bringt,5.987025428457122
brov,5.581560320348958
bruehjwarm,5.987025428457122
bruehlt,5.987025428457122
brüche,5.581560320348958
bscht,5.987025428457122
bschtellsch,5.987025428457122
bsorjt,5.987025428457122
bsunders,5.987025428457122
buckel,5.987025428457122
bue,5.581560320348958
buetze,5.987025428457122
buewe,5.293878247897177
bueä,5.987025428457122
burzle,5.987025428457122
buschur,5.581560320348958
bäbbkessel,5.581560320348958
bär,5.987025428457122
bös,5.987025428457122
büdik,5.581560320348958
büechel,5.293878247897177
büür,5.987025428457122
calf,5.581560320348958
cambüs,5.987025428457122
canaille,5.987025428457122
carosse,5.987025428457122
caune,5.987025428457122
chambre,5.987025428457122
champagner,5.293878247897177
chauson,5.987025428457122
chaussures,5.987025428457122
cheval,5.987025428457122
chevalier,5.987025428457122
cigar,5.987025428457122
commander,5.987025428457122
commissiönle,5.987025428457122
concour,5.987025428457122
coquette,5.987025428457122
cordonnier,5.987025428457122
corpore,5.987025428457122
cylinder,5.987025428457122
césar,5.987025428457122
da,5.987025428457122
daa,4.888413139789012
dabbezierersknecht,5.987025428457122
damen,5.987025428457122
dann,5.581560320348958
danz,5.987025428457122
das,5.293878247897177
dass,3.907583886777286
dasselbe,5.987025428457122
daub,5.987025428457122
de,4.1152232515555305
defsch,5.987025428457122
deide,5.987025428457122
deifels,5.987025428457122
deller,5.987025428457122
dem,4.195265959229067
demi,5.987025428457122
den,4.6007310673372315
denk,5.987025428457122
denke,5.987025428457122
denn,3.846959264960851
denne,4.4829480316808485
der,3.5446783930879175
dere,5.293878247897177
derfsch,5.987025428457122
derno,5.293878247897177
des,5.581560320348958
deschto,5.987025428457122
deux,5.987025428457122
dich,3.907583886777286
die,3.4220760709955855
dielewelter,5.987025428457122
diene,5.987025428457122
dificile,5.987025428457122
dim,5.581560320348958
din,5.987025428457122
diner,5.987025428457122
dinere,5.987025428457122
ding,5.987025428457122
dini,5.987025428457122
dir,4.195265959229067
direkt,5.581560320348958
dis,5.293878247897177
diss,3.6844403354630764
diuhe,5.987025428457122
diuhu,5.987025428457122
do,3.183665047550587
doch,4.377587516023022
dogewänn,5.987025428457122
dollweck,5.987025428457122
doochder,5.293878247897177
doppelt,5.987025428457122
dorel,3.3128767790305935
dorl,5.987025428457122
douzaine,5.987025428457122
dr,5.581560320348958
dran,5.581560320348958
draussen,5.987025428457122
drei,4.734262459961753
dreifacher,5.987025428457122
drej,5.581560320348958
dressiert,5.987025428457122
drinne,5.987025428457122
drinsehn,5.987025428457122
drittens,5.987025428457122
drohtspitz,2.3761075158128975
droscht,5.987025428457122
druckfehler,5.987025428457122
druff,5.581560320348958
drum,5.987025428457122
drücen,5.987025428457122
drüfgezunde,5.987025428457122
drüsse,5.987025428457122
du,5.581560320348958
duet,5.581560320348958
dumma,5.293878247897177
dummkirich,5.987025428457122
dummle,5.987025428457122
dunder,5.987025428457122
dunderwischbel,5.987025428457122
durcheinander,5.987025428457122
dä,5.581560320348958
dänn,5.987025428457122
dät,4.734262459961753
députés,5.987025428457122
dörfer,5.987025428457122
döusig,5.987025428457122
döö,5.987025428457122
dü,3.1538120844009057
düat,5.987025428457122
düderlüdu,5.987025428457122
dülcine,5.987025428457122
dürlüdü,5.581560320348958
dürmel,5.987025428457122
düür,5.987025428457122
düürsch,5.987025428457122
düürt,5.987025428457122
ebber,5.987025428457122
ebbs,4.195265959229067
ebenfalls,5.987025428457122
ebs,5.987025428457122
ech,4.282277336218697
echti,5.987025428457122
eck,5.987025428457122
eddes,2.0850527588824774
edwar,4.888413139789012
effekt,5.987025428457122
ehen,5.987025428457122
ehr,5.987025428457122
ei,5.293878247897177
ein,5.581560320348958
eine,5.070734696582967
einen,5.293878247897177
eins,5.987025428457122
eju,5.581560320348958
elefanteledder,5.987025428457122
eleganti,5.987025428457122
ellaan,5.987025428457122
ellään,5.987025428457122
elsass,5.987025428457122
em,3.735733629850627
emol,5.293878247897177
empfindlich,5.987025428457122
en,5.987025428457122
enfin,5.987025428457122
englisch,5.987025428457122
enorme,5.987025428457122
ente,5.987025428457122
er,4.041115279401809
eracht,5.987025428457122
erdbewe,5.987025428457122
ererscht,5.987025428457122
erscht,5.987025428457122
erschte,5.987025428457122
erschtens,5.987025428457122
erumbamble,5.987025428457122
erumsurrsch,5.987025428457122
erwischt,5.987025428457122
erächt,5.581560320348958
erüss,5.987025428457122
erüssklopfe,5.987025428457122
es,4.195265959229067
esel,5.987025428457122
esse,5.987025428457122
est,5.987025428457122
et,5.987025428457122
euch,5.293878247897177
euere,5.987025428457122
euerer,5.987025428457122
eueri,5.987025428457122
ewigkeit,5.987025428457122
ewigs,5.987025428457122
exemple,5.987025428457122
extra,5.987025428457122
fackelzugg,5.987025428457122
fahre,5.987025428457122
falla,5.987025428457122
fallt,5.987025428457122
falsche,5.987025428457122
famoser,5.987025428457122
fangt,5.987025428457122
fasch,5.987025428457122
fascht,5.987025428457122
fass,5.581560320348958
fasst,5.987025428457122
fauteuil,5.987025428457122
favorit,5.987025428457122
fenschter,5.987025428457122
fer,5.987025428457122
ferdig,5.581560320348958
fescht,5.987025428457122
feschti,5.987025428457122
fetze,5.987025428457122
find,5.987025428457122
fine,5.987025428457122
finger,5.987025428457122
fitzekapores,5.987025428457122
fitzti,5.987025428457122
fix,5.987025428457122
fixe,5.987025428457122
fliehje,5.581560320348958
flohzirik,5.987025428457122
