words,idf
ab,4.001962823304627
abete,5.388257184424518
abg,5.388257184424518
abhalte,5.388257184424518
absite,5.388257184424518
abtrete,5.388257184424518
abzieh,5.388257184424518
achsle,5.388257184424518
adie,4.982792076316353
adresse,5.388257184424518
adunge,4.982792076316353
aelterer,5.388257184424518
ag,4.289644895756409
ah,4.001962823304627
aha,3.7788192719904172
ahöre,5.388257184424518
aklopfe,5.388257184424518
aku,5.388257184424518
alege,5.388257184424518
alegt,5.388257184424518
alle,3.8841797876482436
allei,4.471966452550363
allem,4.982792076316353
allemol,4.982792076316353
alles,4.001962823304627
alleweg,4.982792076316353
allewil,3.6835090921860925
allewàg,5.388257184424518
allons,4.695110003864572
als,4.695110003864572
also,5.388257184424518
alt,4.982792076316353
am,3.5164550075229264
amesse,4.982792076316353
amme,5.388257184424518
amol,5.388257184424518
amustere,5.388257184424518
an,3.4423470353692043
anander,5.388257184424518
and,4.982792076316353
ander,5.388257184424518
andere,4.289644895756409
anders,5.388257184424518
anderscht,5.388257184424518
anderst,4.982792076316353
andre,5.388257184424518
andrs,4.695110003864572
ane,4.13549421592915
anfang,3.6835090921860925
angst,4.982792076316353
antwort,4.695110003864572
arg,5.388257184424518
arm,3.8841797876482436
arme,4.471966452550363
as,3.5164550075229264
ass,2.367832298280155
ast,4.982792076316353
astriche,5.388257184424518
atrifft,5.388257184424518
atroffe,5.388257184424518
au,5.388257184424518
aventure,5.388257184424518
awe,4.982792076316353
awer,2.862528540116262
awor,5.388257184424518
az,4.982792076316353
azünde,5.388257184424518
aüf,5.388257184424518
aüge,4.982792076316353
bart,5.388257184424518
bedüre,5.388257184424518
begryffe,4.471966452550363
bei,5.388257184424518
beide,4.13549421592915
bekannte,5.388257184424518
bekanntschaft,4.982792076316353
bekanntschafte,4.695110003864572
beklag,5.388257184424518
bekomm,5.388257184424518
bekämme,4.695110003864572
bemerkt,5.388257184424518
benewelt,5.388257184424518
besser,4.982792076316353
beste,4.982792076316353
bett,4.695110003864572
bewundre,5.388257184424518
bi,3.248191020928247
bien,4.13549421592915
bigr,5.388257184424518
biku,4.982792076316353
bikummennt,5.388257184424518
bikunnt,5.388257184424518
bim,4.982792076316353
bin,4.289644895756409
bire,5.388257184424518
birschte,5.388257184424518
birschtet,5.388257184424518
bis,2.9459101490553135
blaüe,5.388257184424518
blibt,4.289644895756409
bliwe,4.695110003864572
bloose,5.388257184424518
blüet,5.388257184424518
bode,5.388257184424518
bol,4.289644895756409
bon,4.982792076316353
bonne,5.388257184424518
bordiert,4.982792076316353
brasserie,5.388257184424518
brava,4.695110003864572
breite,5.388257184424518
brief,4.982792076316353
bring,5.388257184424518
bringe,4.289644895756409
brocht,4.982792076316353
brüch,4.695110003864572
brüche,4.471966452550363
brücht,5.388257184424518
buschur,5.388257184424518
bàh,4.695110003864572
bàrgle,5.388257184424518
bäume,5.388257184424518
bös,5.388257184424518
büch,4.982792076316353
cadet,5.388257184424518
chambre,4.982792076316353
chambregarnie,5.388257184424518
cher,5.388257184424518
chevalet,4.13549421592915
chevallet,5.388257184424518
choisiere,5.388257184424518
civilisiert,5.388257184424518
comedie,5.388257184424518
composiert,5.388257184424518
compromettiere,5.388257184424518
contraire,5.388257184424518
creatür,5.388257184424518
credit,4.982792076316353
cüsine,4.982792076316353
damenn,5.388257184424518
das,2.497885426528353
dasmol,5.388257184424518
de,4.982792076316353
decidiere,5.388257184424518
dem,3.7788192719904172
denk,4.695110003864572
denke,4.695110003864572
denkt,4.13549421592915
denn,2.9033505346365174
depütierter,5.388257184424518
der,4.471966452550363
dere,4.982792076316353
derfe,4.982792076316353
derfir,4.289644895756409
dergliche,5.388257184424518
derher,5.388257184424518
dernewe,5.388257184424518
derno,3.6835090921860925
dert,3.5964977151964628
dervo,4.471966452550363
dervor,5.388257184424518
derwerth,5.388257184424518
derzüe,4.982792076316353
des,4.982792076316353
desto,5.388257184424518
di,4.695110003864572
diable,5.388257184424518
didemer,5.388257184424518
die,3.1369653858180224
diemol,5.388257184424518
dienst,5.388257184424518
ding,4.289644895756409
dings,4.289644895756409
disgrazioser,5.388257184424518
dispetiere,4.695110003864572
do,2.392524910870527
doch,2.4438182052580775
dohi,5.388257184424518
domo,5.388257184424518
dr,2.0038669210787434
dra,4.13549421592915
drei,4.471966452550363
dri,5.388257184424518
drin,4.982792076316353
dritter,5.388257184424518
driwer,5.388257184424518
druf,4.982792076316353
drum,4.471966452550363
drüf,4.471966452550363
drürig,4.982792076316353
drüs,4.695110003864572
dumma,5.388257184424518
dummheiten,4.982792076316353
dummle,5.388257184424518
dunkt,5.388257184424518
dunte,5.388257184424518
dure,4.471966452550363
duregeh,5.388257184424518
durespringe,5.388257184424518
durni,5.388257184424518
duss,4.982792076316353
dà,3.1369653858180224
dài,5.388257184424518
dàne,4.289644895756409
dàr,5.388257184424518
dàs,5.388257184424518
dèrwege,5.388257184424518
décidément,4.982792076316353
dü,4.982792076316353
düderi,5.388257184424518
dürt,5.388257184424518
eb,4.471966452550363
ebb,5.388257184424518
ebbe,4.695110003864572
ebber,4.471966452550363
ebbes,3.8841797876482436
economie,5.388257184424518
effecte,5.388257184424518
eh,4.471966452550363
ehen,3.7788192719904172
ehren,5.388257184424518
ei,4.695110003864572
eifer,5.388257184424518
eigentlich,5.388257184424518
eigentlig,4.695110003864572
eim,3.8841797876482436
eimol,4.982792076316353
ein,4.982792076316353
eine,4.695110003864572
einer,4.471966452550363
eins,4.695110003864572
einzige,5.388257184424518
eithüen,5.388257184424518
elfe,4.982792076316353
em,2.749199854809259
embarrasiert,5.388257184424518
embarrassiert,5.388257184424518
eme,4.13549421592915
emoi,5.388257184424518
