words,idf
ab,4.425889994252527
abfahre,5.119037174812473
abg,5.119037174812473
achdung,5.119037174812473
adie,4.425889994252527
adieu,5.119037174812473
adressiert,5.119037174812473
agà,5.119037174812473
ah,3.866274206317104
aha,4.713572066704308
akumme,5.119037174812473
alle,3.614959778036198
allei,3.7327428136925818
allem,5.119037174812473
alles,3.866274206317104
allewil,4.202746442938317
allons,4.425889994252527
als,3.866274206317104
also,3.509599262378372
alt,4.713572066704308
alter,4.713572066704308
am,3.866274206317104
an,4.0204248861443626
andere,4.425889994252527
anderer,5.119037174812473
anderst,5.119037174812473
andre,4.202746442938317
andrer,5.119037174812473
andrs,5.119037174812473
ane,4.713572066704308
angst,3.509599262378372
ans,5.119037174812473
anstatt,5.119037174812473
antwortet,5.119037174812473
ar,5.119037174812473
are,5.119037174812473
arg,5.119037174812473
arm,5.119037174812473
arme,5.119037174812473
arrangiere,5.119037174812473
art,5.119037174812473
as,3.509599262378372
ass,2.3156767939059373
au,5.119037174812473
auf,5.119037174812473
awer,2.5540878173509354
az,4.425889994252527
aüg,5.119037174812473
aüge,4.425889994252527
baccio,5.119037174812473
backe,5.119037174812473
begryffe,5.119037174812473
beide,4.713572066704308
bekommemm,5.119037174812473
bekunnsch,5.119037174812473
bekümmert,5.119037174812473
belle,5.119037174812473
besser,4.713572066704308
beste,5.119037174812473
bett,4.425889994252527
bewacht,5.119037174812473
bewiesa,5.119037174812473
bi,2.8164520818184267
bien,4.713572066704308
bierhiser,5.119037174812473
biku,5.119037174812473
bin,4.425889994252527
bis,3.7327428136925818
bisch,4.425889994252527
bitt,5.119037174812473
blanche,5.119037174812473
blib,5.119037174812473
blibt,5.119037174812473
bliwe,3.866274206317104
bol,5.119037174812473
brache,5.119037174812473
brennt,5.119037174812473
briefe,5.119037174812473
brigand,4.202746442938317
bringe,5.119037174812473
bringt,4.713572066704308
brrr,5.119037174812473
brüch,4.202746442938317
brücht,4.202746442938317
brüeder,4.713572066704308
bum,5.119037174812473
bynander,5.119037174812473
bàh,4.713572066704308
bös,5.119037174812473
böse,5.119037174812473
changiert,5.119037174812473
character,5.119037174812473
choisiere,4.425889994252527
coeur,5.119037174812473
commencement,5.119037174812473
cunditione,5.119037174812473
cüsin,5.119037174812473
damen,5.119037174812473
das,2.3781971508872712
de,4.202746442938317
decidiere,5.119037174812473
decouragiert,5.119037174812473
dem,4.202746442938317
denke,4.425889994252527
denkt,4.425889994252527
denn,2.8164520818184267
derf,4.0204248861443626
derfe,5.119037174812473
derfir,4.425889994252527
derft,5.119037174812473
dermit,5.119037174812473
derno,3.614959778036198
dert,3.7327428136925818
dervo,4.713572066704308
desto,4.713572066704308
di,4.713572066704308
diable,5.119037174812473
dich,4.425889994252527
die,3.509599262378372
dine,5.119037174812473
dinere,5.119037174812473
ding,4.713572066704308
dir,4.425889994252527
do,2.721141902014102
dobliwe,5.119037174812473
doch,2.8164520818184267
dollre,5.119037174812473
doz,5.119037174812473
dr,2.1486227092427708
dra,3.866274206317104
dri,5.119037174812473
drin,4.425889994252527
driwer,5.119037174812473
droscht,5.119037174812473
drum,3.7327428136925818
drüs,5.119037174812473
duell,4.713572066704308
dumma,5.119037174812473
dummheiten,4.425889994252527
dunkle,5.119037174812473
dur,5.119037174812473
durchüs,5.119037174812473
dure,5.119037174812473
dà,3.7327428136925818
dàne,5.119037174812473
décidément,5.119037174812473
dü,3.866274206317104
dürt,5.119037174812473
eb,5.119037174812473
ebb,4.713572066704308
ebbe,4.425889994252527
ebber,4.713572066704308
ebberm,5.119037174812473
ebbes,4.0204248861443626
eenfach,5.119037174812473
ehen,4.425889994252527
eher,5.119037174812473
ehr,4.713572066704308
ei,5.119037174812473
eigentlig,4.713572066704308
eim,5.119037174812473
eimol,4.713572066704308
ein,4.713572066704308
einer,4.713572066704308
einziger,4.425889994252527
eithüen,4.425889994252527
elephant,5.119037174812473
elfe,5.119037174812473
em,3.7327428136925818
eme,5.119037174812473
emol,3.614959778036198
en,4.202746442938317
enander,5.119037174812473
end,4.713572066704308
endlig,4.713572066704308
ene,5.119037174812473
enfin,5.119037174812473
eng,5.119037174812473
engagiere,4.713572066704308
entgege,5.119037174812473
entloffe,5.119037174812473
entrez,5.119037174812473
entschlosse,5.119037174812473
er,2.5163474893680884
ere,4.202746442938317
erfillt,4.713572066704308
erkennt,5.119037174812473
erlaüb,5.119037174812473
erlaübniss,4.425889994252527
erlaübt,4.713572066704308
ernst,5.119037174812473
erschiesse,5.119037174812473
erschosse,4.713572066704308
erschrecklig,5.119037174812473
erst,5.119037174812473
erste,4.713572066704308
es,4.713572066704308
eso,3.2472349979108808
espèce,5.119037174812473
esse,5.119037174812473
etc,4.713572066704308
ewe,4.425889994252527
ewige,5.119037174812473
express,5.119037174812473
eürer,5.119037174812473
falle,5.119037174812473
fallt,4.713572066704308
famili,5.119037174812473
fauteuil,4.425889994252527
fawriziere,5.119037174812473
fechte,5.119037174812473
fenster,4.0204248861443626
ferig,5.119037174812473
fertig,5.119037174812473
fiehre,5.119037174812473
fiess,5.119037174812473
fin,5.119037174812473
find,5.119037174812473
findet,5.119037174812473
finele,3.866274206317104
finger,5.119037174812473
fir,2.5163474893680884
fire,5.119037174812473
firig,1.7178397931503167
firio,5.119037174812473
flicke,5.119037174812473
fonsi,5.119037174812473
fordre,5.119037174812473
freia,5.119037174812473
