Unnamed: 0,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(nachdem der G'sang vorüber ist, klappt er sein Buch zu und setzt die Brille ab; die Glocke der
          Kirche schlägt dreimal mit je drei Schlägen an; er wischt sich die Augen):

          
Jetz litte sie de Säje.

        
",0,greber-d-jumpfer-prinzesse
1,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Wirkli schlaat d'Bettglock dreijmol an.

        
",0,greber-d-jumpfer-prinzesse
2,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
Un Schön gsunge han sie widder — Schön gsunge. Ja‚ ja — — Schön gsunge.

        
",0,greber-d-jumpfer-prinzesse
3,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Vierstimmig.

        
",0,greber-d-jumpfer-prinzesse
4,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E großer Fierdaa. — Weisch: ""aufgefahren gen Himmel, sitzet zur Rechte Hand Gottes des allmächtigen
          Vaters, von dannen er kumme wird zu richt — — zu richt die Lawendigen und die Toten"".

        
",0,greber-d-jumpfer-prinzesse
5,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer :

          
Un d'r hochwürdig Herr Bischof isch drüwwe un dhuet in de-n-Erschkommnikante d' Firmung gen.

        
",0,greber-d-jumpfer-prinzesse
6,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Daß ich so ebbs verfehl mueß. Dis ich m'r zue arrig . . . zue arrig isch m'r dis.

        
",0,greber-d-jumpfer-prinzesse
7,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Jetz schalte doch nit. Danke dim Herrgott, daß de's üwerstande hesch, dini Kranket. In e paar Daa
          kannsch au widder in d'Kirich gehn.

        
",0,greber-d-jumpfer-prinzesse
8,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Wölle's Hoffe, wölle's Hoffe — — 
          
(herausplatzend)
 Hoffe wölle m'r's. — — Ja‚, so e Verkältung, dismol het's mich nit üwel
          gepackt, — Halwer im Grab bin ich gstande, mit eim Fueß.

        
",0,greber-d-jumpfer-prinzesse
9,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Jetz bisch awer widder gsunder . . . un hesch nit emol in de Spital gebrücht.

        
",0,greber-d-jumpfer-prinzesse
10,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
Dis Heidegeld, wo's koscht het.

        
",0,greber-d-jumpfer-prinzesse
11,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Denk nit dran, 's isch emol nit andersch 
          
(setzt sich an den Tisch und strickt).

        
",0,greber-d-jumpfer-prinzesse
12,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Un daß ich meinen salon hab verkaufe müen! — — Schade drum! Schade drum! D'r Lade het sine Mænner
          versorjt.

        
",0,greber-d-jumpfer-prinzesse
13,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
M'r sin bis dato noch nit Hungers gschtorwa . . . . d'r Herr Antoine nemmt dich in sin Bureau. Er het
          m'r's Verspräche.

        
",0,greber-d-jumpfer-prinzesse
14,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E Gottsnamme! — — Zuem e bissel schriewe wurd's noch langerr; — — do wurd's noch langerr, so Gott
          will

        
",1,greber-d-jumpfer-prinzesse
15,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Un d'rno h mm'r jo unser Jeanne — — Es weiß, was es sine Aelterer Schuldige isch.

        
",1,greber-d-jumpfer-prinzesse
16,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(der G'sang hat neu beginnen):

          
Hörsch, jetz Singen sie widder.

        
",1,greber-d-jumpfer-prinzesse
17,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
D'Veschber düürt langer. — — 's isch schun vier durich.

        
",1,greber-d-jumpfer-prinzesse
18,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(lauschend):

          
Ich meinen, ich hör d'Stimm vum Jeanne erüs . . . . wahrhafti, im Jeanne sini Stimm.

        
",1,greber-d-jumpfer-prinzesse
19,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Geh doch, wurum nit gar!

        
",1,greber-d-jumpfer-prinzesse
20,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(Ürgerlich):

          
Ich hör sie awer.

        
",1,greber-d-jumpfer-prinzesse
21,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Mintwäje. Nur halte jetz Ruehj. De emotionirsch dich.

        
",1,greber-d-jumpfer-prinzesse
22,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ei jo denn! — — Gedischbediers un ken End. — M'r verzürnt sich fascht! — Wajer!

        
",1,greber-d-jumpfer-prinzesse
23,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer

          
(ablenkend):

          
Morjen Midda, wenn Schön Wedder isch, derfsch e bissel in d'Sunna gehn, het d'r Doktor gsaat.

        
",1,greber-d-jumpfer-prinzesse
24,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
E bissel in d'Orangerie däpple, so langsam.

        
",1,greber-d-jumpfer-prinzesse
25,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Awer halte sollsch dich, het d'r Doktor... gsaat. Daß' ken rechute gitt.

        
",1,greber-d-jumpfer-prinzesse
26,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Weiß schun. — Apropos, 's Jeanne kann Morjen e Stückel mit m'r gehn.

        
",1,greber-d-jumpfer-prinzesse
27,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Wenn's d'Bermission bekummt vum Herr Steinfeld. .....

        
",1,greber-d-jumpfer-prinzesse
28,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Ja‚, ja ... 's het sie sunsch au als bekomm an dem Daa . . . weisch denn nit, was Morjen-n-isch ?

        
",2,greber-d-jumpfer-prinzesse
29,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Was denn ?

        
",2,greber-d-jumpfer-prinzesse
30,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Namesdaa! — Namesdaa!

        
",2,greber-d-jumpfer-prinzesse
31,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Weiß Gott ja. Vergiß i meinen Namesdaa.

        
",2,greber-d-jumpfer-prinzesse
32,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer

          
(pfiffig):

          
Mir zwei, ich un's Jeanne, han e Kommissiönel mitnand ze mache.

        
",2,greber-d-jumpfer-prinzesse
33,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer :

          
Um Gottswille ken Unkœschte, ich will's nit han.

        
",2,greber-d-jumpfer-prinzesse
34,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
E g’fitzti Tart mueß üf de Disch ..... mit eme Vive Emelie drowwe . . . e paar Köujelhöpf . . . un e
          guets Tröpfel Win. Dis wäre m'r no üwri han. An so 'me Daa ze Sparren! — — Dis wär noch Schön.

        
",2,greber-d-jumpfer-prinzesse
35,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
De muesch jo Allewil dine Kopf han. 
          
(ist aufgestanden und schaut zum Fenster hinaus)
 d'Kirich isch üs.

        
",2,greber-d-jumpfer-prinzesse
36,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Jetz wurd 's Jeanne glich do sin.

        
",2,greber-d-jumpfer-prinzesse
37,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Ich denk's emol. Wenn's nit uffg'halte wurd. 
          
(Paus')

        
",2,greber-d-jumpfer-prinzesse
38,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer :

          
Wurum d'r Herr Albert am Sunndaas kenn Visit meh macht?

        
",2,greber-d-jumpfer-prinzesse
39,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Er wurd ebbs bessers ze dhuen han.

        
",2,greber-d-jumpfer-prinzesse
40,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Er schafft ze viel. Er gunnt sich kein Rühj. Vier Woche isch'r jetz ball üsgebliwwe.

        
",2,greber-d-jumpfer-prinzesse
41,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Schun vier Wuche!

        
",2,greber-d-jumpfer-prinzesse
42,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Wenn'r sich nur widder emol dhädd blicke lon . . . ich wär froh drum.

        
",3,greber-d-jumpfer-prinzesse
43,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
So.

        
",3,greber-d-jumpfer-prinzesse
44,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Verlicht kummt'r hit. — M'r könnt 'm jo Order schicke.

        
",3,greber-d-jumpfer-prinzesse
45,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Au noch.

        
",3,greber-d-jumpfer-prinzesse
46,drama,Jakob Schmelzer,M,,,,"
          
Schmelzer:

          
Rüscht als emol d'Karte for e kleins Piketel.

        
",3,greber-d-jumpfer-prinzesse
47,drama,Jakob Schmelzer,M,,,,"
          
Frau Schmelzer:

          
Allewyl mit dim Kartesspiele.

        
",3,greber-d-jumpfer-prinzesse
